City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,mount isa,-20.7333,139.5,7.8700000000000045,87,6,0.0,AU,1691701010
159,floro,61.5996,5.0328,10.04000000000002,93,75,3.09,NO,1691701008
160,punta arenas,-53.15,-70.9167,3.400000000000034,72,100,6.81,CL,1691700993
161,beibei,29.8256,106.4339,31.890000000000043,79,76,1.06,CN,1691701188
162,howrah,22.5892,88.3103,27.0,89,75,3.09,IN,1691701017
163,kayangel,8.0823,134.7173,27.82000000000005,82,95,8.7,PW,1691700996
164,simanggang,1.2472,111.4528,23.99000000000001,100,95,1.03,MY,1691701188
165,tofol,5.3248,163.0078,28.52000000000004,72,93,2.31,FM,1691701188
166,nova vicosa,-17.8919,-39.3719,22.640000000000043,74,77,3.66,BR,1691701188
167,san patricio,28.017,-97.5169,39.53000000000003,44,0,8.62,US,1691700977
168,yarmouth,41.7057,-70.2286,25.57000000000005,83,0,4.63,US,1691701188
169,susanville,40.4163,-120.653,31.57000000000005,16,0,1.79,US,1691700997
170,iquique,-20.2208,-70.1431,19.02000000000004,77,30,4.34,CL,1691701125
171,kingston,17.997,-76.7936,31.53000000000003,74,20,8.75,JM,1691700925
172,jiexiu,37.0244,111.9125,25.730000000000018,60,100,1.61,CN,1691701189
173,ushuaia,-54.8,-68.3,0.8100000000000023,100,75,3.6,AR,1691700989
174,sinabang,2.4803,96.3801,25.980000000000018,84,100,2.18,ID,1691701010
175,ofunato,39.0717,141.7167,25.24000000000001,93,53,2.21,JP,1691701189
176,st. john's,47.5649,-52.7093,21.55000000000001,89,75,4.12,CA,1691700703
177,haiku-pauwela,20.9219,-156.3051,26.25,80,75,6.17,US,1691700974
178,mirny,62.5353,113.9611,16.80000000000001,72,100,4.02,RU,1691701190
179,puerto cabezas,14.0351,-83.3888,31.980000000000018,74,40,3.09,NI,1691701190
180,port saint john's,-31.6229,29.5448,17.140000000000043,87,10,6.06,ZA,1691700985
181,saint-francois,46.4154,3.9054,21.49000000000001,68,0,1.03,FR,1691701021
182,troitsko-pechorsk,62.7084,56.1964,11.600000000000023,82,33,0.71,RU,1691701190
183,aioun,16.6614,-9.6149,36.650000000000034,27,48,4.26,MR,1691701190
184,gargalianoi,37.0667,21.6333,22.340000000000032,75,0,4.13,GR,1691701190
185,altay,47.8667,88.1167,18.640000000000043,46,4,2.72,CN,1691701033
186,egilsstadir,65.2653,-14.3948,9.950000000000045,76,20,4.12,IS,1691701003
187,voskresenskoye,56.8381,45.4317,19.180000000000007,76,18,0.8,RU,1691701191
188,boke,10.9409,-14.2967,24.160000000000025,96,100,2.22,GN,1691701191
189,vilyuchinsk,52.9306,158.4028,10.150000000000034,75,65,1.13,RU,1691701009
190,qaqortoq,60.7167,-46.0333,7.830000000000041,75,86,2.0,GL,1691700975
191,myeik,12.4333,98.6,26.04000000000002,89,34,3.15,MM,1691701191
192,masindi,1.6744,31.715,18.760000000000048,93,95,1.28,UG,1691701191
193,viedma,-40.8135,-62.9967,17.379999999999995,32,100,6.22,AR,1691700921
194,kovalam,8.3667,76.9967,27.05000000000001,89,40,1.54,IN,1691701191
195,plattsmouth,41.0114,-95.8822,31.340000000000032,61,75,5.14,US,1691701000
196,new norfolk,-42.7826,147.0587,8.730000000000018,95,100,1.41,AU,1691700998
197,salalah,17.0151,54.0924,24.650000000000034,94,82,1.23,OM,1691701191
198,brisas de zicatela,15.8369,-97.0419,31.28000000000003,64,89,3.45,MX,1691701192
199,longyearbyen,78.2186,15.6401,9.910000000000025,81,100,1.03,SJ,1691700988
200,yuzhno-kurilsk,44.0306,145.8556,20.150000000000034,96,100,5.3,RU,1691701006
201,guerrero negro,27.9769,-114.0611,26.879999999999995,60,6,7.62,MX,1691700950
202,horta,38.5333,-28.6333,23.80000000000001,78,20,4.63,PT,1691701192
